source,file,color,label,cpl_mean,cpl_median,cpl_variance,cpl_max,cpl_p90,zero_cpl_rate,top1_rate,top3_rate,top5_rate,max_consecutive_top1,cpl_opening,cpl_middlegame,cpl_endgame,varianza_eval,curtosis_eval,asimetria_eval,inversiones_ventaja,entropia_eval
legal,partida_106.pgn,black,0,1628.1764705882354,80.0,11504203.851211073,9131.0,8848.2,0.20588235294117646,0.20588235294117646,0.35294117647058826,0.38235294117647056,2.0,41.63636363636363,907.9090909090909,3742.75,9065203.307958476,3.496613066275229,2.320271520862838,1.0,1.5687933535502967
legal,partida_107.pgn,white,0,45.05714285714286,13.0,5409.139591836734,392.0,107.6,0.34285714285714286,0.34285714285714286,0.6,0.6571428571428571,4.0,53.90909090909091,24.90909090909091,54.61538461538461,6780.693877551021,3.435582223817293,-1.3610351153125282,6.0,2.5922855964532183
legal,partida_107.pgn,black,0,41.205882352941174,16.5,4031.5164359861596,245.0,145.89999999999995,0.38235294117647056,0.38235294117647056,0.6764705882352942,0.7941176470588235,4.0,48.09090909090909,43.09090909090909,33.166666666666664,5345.051903114188,-0.2381827389081299,-0.45565373832583395,6.0,3.006300859293579
legal,partida_108.pgn,white,0,79.8125,42.5,10830.27734375,430.0,250.20000000000022,0.25,0.25,0.46875,0.59375,4.0,75.9,101.1,65.33333333333333,7825465.40234375,5.6168251772553255,-2.740371521237132,3.0,1.3056559052400012
legal,partida_108.pgn,black,0,339.5625,23.5,2535445.24609375,9197.0,176.10000000000002,0.21875,0.125,0.5625,0.65625,1.0,45.9,79.0,801.4166666666666,10192415.741210938,3.0672701704936065,2.237668401707104,1.0,1.33034280983953
legal,partida_109.pgn,white,0,935.4,13.0,6998711.154285716,9030.0,1374.2000000000114,0.2857142857142857,0.15714285714285714,0.38571428571428573,0.4857142857142857,3.0,103.47826086956522,1589.304347826087,1106.0,19249321.506938774,-1.3634729088710689,0.7757166312435446,5.0,1.6932694067632614
legal,partida_109.pgn,black,0,456.768115942029,5.0,3296402.72883848,9028.0,283.2000000000002,0.391304347826087,0.391304347826087,0.6231884057971014,0.6956521739130435,4.0,151.43478260869566,1214.7391304347825,4.130434782608695,20781596.216761183,-1.736248115034926,-0.49407152102348206,0.0,1.4920603790394924
legal,partida_11.pgn,white,0,560.2702702702703,13.0,4559819.602629657,9601.0,227.19999999999982,0.40540540540540543,0.40540540540540543,0.6486486486486487,0.7567567567567568,6.0,73.0,13.916666666666666,1514.3846153846155,9415069.535427319,4.320935752752664,-2.5069468910383677,3.0,1.1056559610977965
legal,partida_11.pgn,black,0,283.7567567567568,0.0,2318186.07596786,9414.0,121.19999999999996,0.5135135135135135,0.4864864864864865,0.8108108108108109,0.8648648648648649,3.0,44.333333333333336,42.5,727.4615384615385,7313407.643535427,7.307670105196577,3.0390496138714487,4.0,1.0824720787485218
legal,partida_110.pgn,white,0,32.72093023255814,12.0,3744.5732828555974,375.0,80.00000000000009,0.32558139534883723,0.32558139534883723,0.627906976744186,0.6511627906976745,3.0,16.928571428571427,28.714285714285715,51.2,26053.68631692807,1.3727135490489184,1.1733144339478854,5.0,2.52169412959777
legal,partida_110.pgn,black,0,33.38095238095238,6.5,4669.61678004535,322.0,71.89999999999998,0.38095238095238093,0.38095238095238093,0.6666666666666666,0.7380952380952381,3.0,19.5,24.357142857142858,56.285714285714285,25989.72789115646,0.8797063944749417,-1.0926499328990353,6.0,2.271993402302405
legal,partida_111.pgn,white,0,43.36666666666667,15.0,3531.9655555555555,215.0,129.10000000000005,0.36666666666666664,0.36666666666666664,0.6666666666666666,0.7333333333333333,2.0,42.6,52.7,34.8,28247.666666666668,-1.036864320151688,0.6321349183428813,1.0,2.5261151707653946
legal,partida_111.pgn,black,0,25.433333333333334,0.5,1934.1122222222218,192.0,78.10000000000002,0.5,0.5,0.8333333333333334,0.9,4.0,3.1,44.4,28.8,28024.338888888895,-0.998499264238176,-0.5113995127965435,1.0,2.607208192387027
legal,partida_112.pgn,white,0,825.4242424242424,1.0,6587490.607897155,9061.0,90.20000000000003,0.45454545454545453,0.3939393939393939,0.7575757575757576,0.8484848484848485,3.0,16.636363636363637,20.727272727272727,2438.909090909091,11257295.349862257,1.6981550776364536,1.9029135006313267,0.0,1.5925540211274338
legal,partida_112.pgn,black,0,337.5625,2.0,2428734.18359375,8989.0,185.10000000000014,0.46875,0.4375,0.625,0.65625,3.0,83.2,58.7,781.9166666666666,16425842.4375,-0.6769602106091352,-1.1399310453832392,0.0,1.4614721293040243
legal,partida_113.pgn,white,0,425.8666666666667,36.5,3483924.248888889,10450.0,324.40000000000026,0.4,0.36666666666666664,0.5333333333333333,0.7666666666666667,3.0,30.5,181.5,1065.6,8966188.360000001,4.996573437858823,-2.630065696785832,5.0,1.1493692870187902
legal,partida_113.pgn,black,0,100.56666666666666,10.5,43672.378888888896,920.0,236.0000000000004,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.7,3.0,31.7,134.6,135.4,9145187.582222221,4.9945174119197135,2.6295826958113118,7.0,1.1482431942860274
legal,partida_114.pgn,white,0,350.864406779661,30.0,2684810.8290721057,9168.0,126.40000000000005,0.3728813559322034,0.3559322033898305,0.6949152542372882,0.7627118644067796,3.0,47.73684210526316,64.26315789473684,884.4285714285714,3148274.81643206,22.801690716110734,-4.889258053093215,9.0,1.2479057737255004
legal,partida_114.pgn,black,0,351.2068965517241,36.5,2775935.957193817,9204.0,89.50000000000003,0.3103448275862069,0.29310344827586204,0.6206896551724138,0.7068965517241379,5.0,41.21052631578947,36.36842105263158,944.8,105828.13109393578,-1.2579208203229464,-0.04446036444614076,3.0,2.892076293347653
legal,partida_115.pgn,white,0,59.78260869565217,19.0,8152.952741020796,317.0,167.80000000000004,0.34782608695652173,0.34782608695652173,0.6521739130434783,0.8260869565217391,5.0,51.57142857142857,69.85714285714286,58.333333333333336,81014.60491493382,0.6098602830026669,0.9285216027698511,2.0,2.254917598203033
legal,partida_115.pgn,black,0,93.04545454545455,23.0,25113.77066115703,604.0,329.7000000000005,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.5909090909090909,3.0,39.142857142857146,22.0,202.375,76502.68595041322,0.26447700863554546,-0.6424524087002104,6.0,2.4371246463145226
legal,partida_116.pgn,white,0,56.027027027027025,10.0,6590.620891161433,280.0,190.19999999999996,0.40540540540540543,0.40540540540540543,0.7027027027027027,0.7567567567567568,3.0,29.083333333333332,95.16666666666667,44.76923076923077,2608455.1862673485,31.248879238046626,5.729834115430145,8.0,0.7971620355329258
legal,partida_116.pgn,black,0,330.97222222222223,26.0,2544408.693672839,9754.0,156.5,0.2777777777777778,0.2777777777777778,0.75,0.8888888888888888,6.0,38.166666666666664,105.0,849.75,2642879.9783950616,30.405401481178984,-5.663217176688509,4.0,0.7812474438226238
legal,partida_117.pgn,white,0,352.6896551724138,17.0,2645468.696789537,8953.0,142.59999999999997,0.3103448275862069,0.3103448275862069,0.7931034482758621,0.896551724137931,2.0,12.222222222222221,66.66666666666667,865.2727272727273,3210411.07491082,21.850090936010822,4.76641401251756,4.0,0.9434632692411776
legal,partida_117.pgn,black,0,699.0357142857143,32.0,5200462.963010204,8967.0,353.80000000000035,0.32142857142857145,0.32142857142857145,0.6428571428571429,0.8571428571428571,3.0,24.77777777777778,124.77777777777777,1822.7,6225028.346938775,8.655869645156441,-3.2243651936603697,4.0,1.210298870756309
legal,partida_118.pgn,white,0,407.17857142857144,41.0,2695128.075255102,8872.0,255.60000000000014,0.32142857142857145,0.25,0.35714285714285715,0.39285714285714285,3.0,218.11111111111111,34.888888888888886,912.4,16075177.646683676,-0.6794972184336872,-1.135683915713367,0.0,1.3699301964782138
legal,partida_118.pgn,black,0,55.642857142857146,10.5,14330.586734693881,633.0,112.70000000000002,0.35714285714285715,0.25,0.39285714285714285,0.5357142857142857,3.0,112.88888888888889,50.0,9.2,16293729.309948979,-0.6851047695768444,1.1245873617253603,3.0,1.5883087858214282
legal,partida_119.pgn,white,0,59.11538461538461,0.5,29270.178994082842,881.0,123.0,0.5,0.5,0.7307692307692307,0.7692307692307693,4.0,19.75,14.875,126.0,3709998.213017752,20.735951715436737,4.748019553712645,6.0,0.6722962280908582
legal,partida_119.pgn,black,0,460.8,14.0,3808008.48,9991.0,133.8,0.36,0.36,0.6,0.68,3.0,19.875,40.125,1226.6666666666667,3785881.7824,19.980608836008177,-4.68470740497094,2.0,0.1679441477341735
legal,partida_12.pgn,white,0,36.5531914893617,20.0,2508.2897238569494,237.0,82.19999999999997,0.3617021276595745,0.3404255319148936,0.6595744680851063,0.723404255319149,4.0,49.333333333333336,32.06666666666667,29.235294117647058,38914.06247170665,-0.03613231960210861,0.6658344513530119,1.0,2.5997867211787615
legal,partida_12.pgn,black,0,25.847826086956523,11.0,1224.7377126654062,155.0,79.5,0.43478260869565216,0.41304347826086957,0.6304347826086957,0.8043478260869565,6.0,28.333333333333332,30.866666666666667,18.8125,39013.57514177694,-0.38851441212470217,-0.5059424619007882,1.0,2.752365821943719
legal,partida_120.pgn,white,0,42.42622950819672,7.0,6415.851115291588,414.0,96.0,0.39344262295081966,0.36065573770491804,0.5901639344262295,0.6721311475409836,6.0,19.05,65.0,43.19047619047619,7076397.667831227,7.110071138840908,2.998858522721819,4.0,1.1724004207283807
legal,partida_120.pgn,black,0,55.416666666666664,15.0,7698.543055555555,351.0,204.40000000000006,0.2833333333333333,0.26666666666666666,0.55,0.65,2.0,48.2,59.35,58.7,5810074.23888889,9.771711356934588,-3.403976254482538,4.0,1.214970092861485
